id,lat,lon,E,N,T_2020,T_2025,T_2030,T_2035,T_2040,T_2045,T_2050,T_2055,T_2060,T_2065,T_2070,T_2075,T_2080,T_2085,T_2090,T_2095,T_2100,P_2020,P_2025,P_2030,P_2035,P_2040,P_2045,P_2050,P_2055,P_2060,P_2065,P_2070,P_2075,P_2080,P_2085,P_2090,P_2095,P_2100
35.1_25.1,35.1,25.1,5702551.102338458,1474353.3532586778,289.82373046875,289.818603515625,290.0088806152344,289.93048095703125,290.5298767089844,290.02911376953125,290.4498596191406,290.7276306152344,290.56561279296875,290.60174560546875,290.23406982421875,290.4140930175781,290.6579284667969,290.52984619140625,290.5090026855469,290.91693115234375,290.8213806152344,1.2116907782910857e-05,1.349805825157091e-05,1.3438599125947803e-05,1.4155687495076563e-05,1.0139488040294964e-05,1.271106975764269e-05,1.3815858437737916e-05,1.3478243090503383e-05,1.1427138815633953e-05,1.4041353097127285e-05,1.38358573167352e-05,1.2549620805657469e-05,1.1525222362251952e-05,1.163532942882739e-05,1.0946171641990077e-05,1.2373385288810823e-05,1.0644448593666311e-05
35.1_25.3,35.1,25.3,5720582.776417559,1477961.6302496595,289.1236267089844,289.0826110839844,289.3019714355469,289.20489501953125,289.7846984863281,289.2892761230469,289.7322082519531,290.005126953125,289.81695556640625,289.90264892578125,289.49554443359375,289.685302734375,289.90936279296875,289.7726745605469,289.7530517578125,290.1674499511719,290.0506286621094,1.8914994143415242e-05,2.014511301240418e-05,2.2604775949730538e-05,2.2048099708626978e-05,1.5953719412209466e-05,1.944608629855793e-05,2.04512743948726e-05,2.018925988522824e-05,1.938593777595088e-05,2.1964209736324847e-05,2.1514166292035952e-05,1.878494913398754e-05,1.832876296248287e-05,1.883958248072304e-05,1.710832839307841e-05,1.968221113202162e-05,1.8381475456408225e-05
35.1_25.4,35.1,25.4,5729594.663768517,1479783.4654656046,287.69964599609375,287.7650451660156,287.92559814453125,287.783203125,288.3815002441406,287.9166564941406,288.3903503417969,288.6414794921875,288.41851806640625,288.4617004394531,288.1588439941406,288.33673095703125,288.5475769042969,288.4286804199219,288.3924865722656,288.80548095703125,288.6318054199219,3.601632488425821e-05,3.6667988752014935e-05,4.302224988350645e-05,4.16740367654711e-05,3.065142300329171e-05,3.555836156010628e-05,3.812018258031458e-05,3.8130292523419484e-05,3.674221079563722e-05,4.1149414755636826e-05,4.005939626949839e-05,3.3765096304705366e-05,3.294321140856482e-05,3.3768286812119186e-05,3.222858504159376e-05,3.718944935826585e-05,3.484171611489728e-05
35.1_25.5,35.1,25.5,5738603.894829666,1481617.096600605,287.0872802734375,287.2782287597656,287.3830261230469,287.2192687988281,287.8594970703125,287.3890380859375,287.8880920410156,288.0944519042969,287.8758544921875,287.8622131347656,287.63177490234375,287.8216247558594,288.0126647949219,287.9244689941406,287.85528564453125,288.2687072753906,288.0819091796875,6.162939098430797e-05,5.676381624653004e-05,6.462585588451475e-05,6.537106673931703e-05,4.8171437811106443e-05,5.7021446991711855e-05,5.960133421467617e-05,6.124152423581108e-05,5.55112783331424e-05,6.407654291251674e-05,6.541774200741202e-05,5.41558547411114e-05,5.0512197049101815e-05,5.1506911404430866e-05,5.2260831580497324e-05,5.9223420976195484e-05,5.459870953927748e-05
35.1_25.7,35.1,25.7,5756614.318575562,1485319.7408851665,290.0467224121094,290.1268615722656,290.28240966796875,290.17474365234375,290.77777099609375,290.2959289550781,290.7481689453125,290.98468017578125,290.8353576660156,290.8277587890625,290.5307312011719,290.6583251953125,290.8966369628906,290.8042907714844,290.7231750488281,291.1741943359375,291.05889892578125,1.60235031216871e-05,1.6541760487598367e-05,1.5778490705997683e-05,1.6809986846055835e-05,1.1699082278937567e-05,1.57452577695949e-05,1.5457404515473172e-05,1.6844578567543067e-05,1.3787247553409543e-05,1.62771266332129e-05,1.8726052076090127e-05,1.6078294720500708e-05,1.4419238141272217e-05,1.4491608453681692e-05,1.487030658609001e-05,1.6862171833054163e-05,1.2967084330739453e-05
35.1_25.9,35.1,25.9,5774613.908616465,1489069.551519858,290.4079895019531,290.40887451171875,290.61865234375,290.5080261230469,291.03558349609375,290.6809387207031,291.0545959472656,291.2537536621094,291.15576171875,291.1279602050781,290.8473205566406,290.950927734375,291.1891784667969,291.1195373535156,291.03277587890625,291.46795654296875,291.41278076171875,1.9469409380690195e-05,2.0452916942304e-05,2.1386224034358747e-05,2.304795998497866e-05,1.4743262909178156e-05,1.9091936337645166e-05,1.868479921540711e-05,2.0830211724387482e-05,1.8394310245639645e-05,2.081916682072915e-05,2.2567603082279675e-05,1.9452521883067675e-05,1.7317215679213405e-05,1.5900532162049785e-05,1.7954323993762955e-05,2.107495311065577e-05,1.695962782832794e-05
35_26,35.0,26.0,5785591.754526498,1480134.9526300093,291.383056640625,291.3567810058594,291.59918212890625,291.47430419921875,291.9600524902344,291.66705322265625,292.0013122558594,292.16766357421875,292.099853515625,292.085205078125,291.7684020996094,291.90692138671875,292.1376037597656,292.06121826171875,291.9720764160156,292.4239196777344,292.38702392578125,1.2350731594779063e-05,1.3536637197830714e-05,1.3864901120541617e-05,1.3431801562546752e-05,9.343153578811325e-06,1.236676598637132e-05,1.1973696018685587e-05,1.3520379980036523e-05,1.1721362170646898e-05,1.3513666090148035e-05,1.4451846254814882e-05,1.2404092558426782e-05,1.1146932592964731e-05,1.1063144484069198e-05,1.1807846021838486e-05,1.3557465535996016e-05,1.0819241651915945e-05
35_26.2,35.0,26.2,5803599.484006691,1483959.2685478795,291.6801452636719,291.68829345703125,291.9289245605469,291.78289794921875,292.2738037109375,291.9913635253906,292.3410339355469,292.4820861816406,292.4259338378906,292.390625,292.0942687988281,292.2194519042969,292.4598083496094,292.410888671875,292.299560546875,292.746337890625,292.6969909667969,1.183683161798399e-05,1.2013892956019845e-05,1.1914348760910798e-05,1.1611599802563433e-05,8.714608156878967e-06,1.1365664249751717e-05,1.0457079952175263e-05,1.277316732739564e-05,1.0080075298901647e-05,1.1871317838085815e-05,1.3268610018712934e-05,1.1187961717951111e-05,1.002616136247525e-05,9.455170584260486e-06,1.0461957572260872e-05,1.225505184265785e-05,9.802191925700754e-06
35.3_23.6,35.3,23.6,5563611.873139169,1470537.8875679623,290.16241455078125,290.37042236328125,290.3904724121094,290.2654113769531,290.8123474121094,290.5023498535156,290.92852783203125,291.1308898925781,290.9923400878906,290.9456481933594,290.629150390625,290.8370666503906,290.9755554199219,290.88653564453125,290.9075012207031,291.35308837890625,291.2264404296875,3.604258017730899e-05,3.812512295553461e-05,4.610382893588394e-05,4.380024256533943e-05,3.253491740906611e-05,3.837511030724272e-05,4.532607999863103e-05,3.7226178392302245e-05,3.920741437468678e-05,3.9357990317512304e-05,4.2621864849934354e-05,3.9382943214150146e-05,3.607941107475199e-05,3.660131915239617e-05,3.510883107082918e-05,3.5694512916961685e-05,3.777121310122311e-05
35.3_23.7,35.3,23.7,5572641.504936419,1472155.773302237,289.5208740234375,289.6943054199219,289.71588134765625,289.6166076660156,290.1956787109375,289.8125,290.26361083984375,290.4980163574219,290.32244873046875,290.315673828125,289.997314453125,290.1852111816406,290.3446960449219,290.2391052246094,290.2612609863281,290.6988525390625,290.53338623046875,3.4137705370085314e-05,3.678805660456419e-05,4.3956151785096154e-05,4.115875344723463e-05,3.083046613028273e-05,3.662946619442664e-05,4.1456423787167296e-05,3.553427450242452e-05,3.7387893826235086e-05,3.616989488364197e-05,3.9986978663364425e-05,3.641877992777154e-05,3.472233220236376e-05,3.531199035933241e-05,3.317688970128074e-05,3.3470136258983985e-05,3.615679815993644e-05
